                              IERS Bulletin A                   No. 1574
                  Values of Earth Orientation Parameters *
   YR MO DA   MJD        x     error      y     error   UT1-UTC   error
   13  1 18  56310   0.05408 0.00006  0.29837 0.00005  0.257377 0.000007
   13  1 19  56311   0.05294 0.00006  0.29941 0.00005  0.256126 0.000008
   13  1 20  56312   0.05172 0.00006  0.30066 0.00005  0.254978 0.000010
   13  1 21  56313   0.05045 0.00010  0.30183 0.00010  0.253885 0.000008
   13  1 22  56314   0.04947 0.00010  0.30288 0.00010  0.252815 0.000015
   13  1 23  56315   0.04868 0.00010  0.30403 0.00009  0.251747 0.000016
   13  1 24  56316   0.04790 0.00010  0.30510 0.00009  0.250647 0.000014
   13  1 25  56317   0.04715 0.00010  0.30589 0.00009  0.249512 0.000012
   13  1 26  56318   0.04643 0.00010  0.30647 0.00009  0.248392 0.000014
   13  1 27  56319   0.04571 0.00010  0.30686 0.00009  0.247149 0.000015
   13  1 28  56320   0.04495 0.00010  0.30717 0.00009  0.245776 0.000013
   13  1 29  56321   0.04405 0.00010  0.30759 0.00009  0.244321 0.000013
   13  1 30  56322   0.04327 0.00010  0.30824 0.00009  0.242808 0.000013
   13  1 31  56323   0.04276 0.00010  0.30917 0.00009  0.241231 0.000013
P  13  2  1  56324   0.0422  0.0006   0.3103  0.0004   0.23972  0.00011
P  13  2  2  56325   0.0417  0.0009   0.3114  0.0007   0.23831  0.00020
P  13  2  3  56326   0.0412  0.0011   0.3125  0.0009   0.23702  0.00030
P  13  2  4  56327   0.0407  0.0013   0.3136  0.0011   0.23587  0.00040
P  13  2  5  56328   0.0401  0.0015   0.3148  0.0013   0.23484  0.00050
P  13  2  6  56329   0.0396  0.0017   0.3158  0.0015   0.23390  0.00060
P  13  2  7  56330   0.0391  0.0018   0.3169  0.0016   0.23297  0.00070
P  13  2  8  56331   0.0387  0.0020   0.3180  0.0018   0.23196  0.00075
P  13  2  9  56332   0.0383  0.0021   0.3191  0.0019   0.23082  0.00055
P  13  2 10  56333   0.0379  0.0022   0.3202  0.0021   0.22949  0.00075
P  13  2 11  56334   0.0376  0.0024   0.3213  0.0022   0.22801  0.00093
P  13  2 12  56335   0.0373  0.0025   0.3224  0.0024   0.22643  0.00110
P  13  2 13  56336   0.0370  0.0026   0.3234  0.0025   0.22480  0.00125
P  13  2 14  56337   0.0367  0.0027   0.3245  0.0027   0.22320  0.00140
P  13  2 15  56338   0.0364  0.0028   0.3256  0.0028   0.22165  0.00154
P  13  2 16  56339   0.0362  0.0029   0.3267  0.0029   0.22018  0.00168
P  13  2 17  56340   0.0360  0.0030   0.3279  0.0031   0.21880  0.00181
P  13  2 18  56341   0.0359  0.0031   0.3290  0.0032   0.21752  0.00194
P  13  2 19  56342   0.0357  0.0032   0.3302  0.0033   0.21634  0.00207
P  13  2 20  56343   0.0356  0.0033   0.3313  0.0035   0.21521  0.00219
P  13  2 21  56344   0.0356  0.0034   0.3325  0.0036   0.21408  0.00231
P  13  2 22  56345   0.0355  0.0035   0.3337  0.0037   0.21290  0.00243
P  13  2 23  56346   0.0355  0.0036   0.3348  0.0038   0.21162  0.00254
P  13  2 24  56347   0.0355  0.0037   0.3360  0.0039   0.21024  0.00265
P  13  2 25  56348   0.0355  0.0038   0.3372  0.0041   0.20872  0.00277
P  13  2 26  56349   0.0355  0.0039   0.3383  0.0042   0.20707  0.00288
P  13  2 27  56350   0.0356  0.0040   0.3395  0.0043   0.20533  0.00299
P  13  2 28  56351   0.0357  0.0040   0.3407  0.0044   0.20357  0.00309
P  13  3  1  56352   0.0359  0.0041   0.3418  0.0045   0.20185  0.00320
P  13  3  2  56353   0.0360  0.0042   0.3430  0.0046   0.20022  0.00330
P  13  3  3  56354   0.0362  0.0043   0.3442  0.0047   0.19873  0.00341
P  13  3  4  56355   0.0364  0.0044   0.3453  0.0049   0.19736  0.00351
P  13  3  5  56356   0.0366  0.0044   0.3465  0.0050   0.19611  0.00361
P  13  3  6  56357   0.0369  0.0045   0.3477  0.0051   0.19488  0.00371
P  13  3  7  56358   0.0372  0.0046   0.3488  0.0052   0.19362  0.00381
P  13  3  8  56359   0.0375  0.0047   0.3500  0.0053   0.19225  0.00391
P  13  3  9  56360   0.0379  0.0047   0.3511  0.0054   0.19075  0.00401
P  13  3 10  56361   0.0382  0.0048   0.3523  0.0055   0.18912  0.00411
P  13  3 11  56362   0.0386  0.0049   0.3534  0.0056   0.18740  0.00420
P  13  3 12  56363   0.0390  0.0050   0.3546  0.0057   0.18566  0.00430
P  13  3 13  56364   0.0395  0.0050   0.3557  0.0058   0.18397  0.00439
P  13  3 14  56365   0.0400  0.0051   0.3568  0.0059   0.18237  0.00448
P  13  3 15  56366   0.0405  0.0052   0.3579  0.0060   0.18090  0.00458
P  13  3 16  56367   0.0410  0.0052   0.3590  0.0061   0.17955  0.00467
P  13  3 17  56368   0.0415  0.0053   0.3602  0.0062   0.17832  0.00476
P  13  3 18  56369   0.0421  0.0054   0.3612  0.0063   0.17717  0.00485
P  13  3 19  56370   0.0427  0.0054   0.3623  0.0064   0.17606  0.00494
P  13  3 20  56371   0.0433  0.0055   0.3634  0.0065   0.17494  0.00503
P  13  3 21  56372   0.0440  0.0056   0.3645  0.0066   0.17377  0.00512
P  13  3 22  56373   0.0447  0.0056   0.3656  0.0067   0.17250  0.00521
P  13  3 23  56374   0.0454  0.0057   0.3666  0.0068   0.17110  0.00530
P  13  3 24  56375   0.0461  0.0058   0.3676  0.0069   0.16955  0.00539
P  13  3 25  56376   0.0468  0.0058   0.3687  0.0070   0.16785  0.00548
P  13  3 26  56377   0.0476  0.0059   0.3697  0.0071   0.16604  0.00556
P  13  3 27  56378   0.0484  0.0059   0.3707  0.0072   0.16415  0.00565
P  13  3 28  56379   0.0492  0.0060   0.3717  0.0073   0.16226  0.00574
P  13  3 29  56380   0.0501  0.0061   0.3727  0.0074   0.16045  0.00582
P  13  3 30  56381   0.0509  0.0061   0.3737  0.0074   0.15876  0.00591
P  13  3 31  56382   0.0518  0.0062   0.3746  0.0075   0.15722  0.00599
P  13  4  1  56383   0.0527  0.0062   0.3756  0.0076   0.15580  0.00608
P  13  4  2  56384   0.0536  0.0063   0.3765  0.0077   0.15445  0.00616
P  13  4  3  56385   0.0546  0.0064   0.3774  0.0078   0.15309  0.00624
P  13  4  4  56386   0.0556  0.0064   0.3783  0.0079   0.15168  0.00633
P  13  4  5  56387   0.0566  0.0065   0.3792  0.0080   0.15017  0.00641
P  13  4  6  56388   0.0576  0.0065   0.3801  0.0081   0.14857  0.00649
P  13  4  7  56389   0.0586  0.0066   0.3810  0.0082   0.14689  0.00657
P  13  4  8  56390   0.0597  0.0066   0.3818  0.0083   0.14518  0.00666
P  13  4  9  56391   0.0607  0.0067   0.3826  0.0083   0.14351  0.00674
P  13  4 10  56392   0.0618  0.0068   0.3834  0.0084   0.14192  0.00682
P  13  4 11  56393   0.0630  0.0068   0.3842  0.0085   0.14047  0.00690
P  13  4 12  56394   0.0641  0.0069   0.3850  0.0086   0.13917  0.00698
P  13  4 13  56395   0.0652  0.0069   0.3858  0.0087   0.13801  0.00706
P  13  4 14  56396   0.0664  0.0070   0.3865  0.0088   0.13696  0.00714
P  13  4 15  56397   0.0676  0.0070   0.3872  0.0089   0.13599  0.00722
P  13  4 16  56398   0.0688  0.0071   0.3879  0.0090   0.13505  0.00730
P  13  4 17  56399   0.0700  0.0071   0.3886  0.0090   0.13410  0.00738
P  13  4 18  56400   0.0713  0.0072   0.3893  0.0091   0.13309  0.00745
P  13  4 19  56401   0.0725  0.0072   0.3899  0.0092   0.13198  0.00753
